artist,genre
Sean Paul,pop
Chris Brown,pop
Nickelback,rock
Ne-Yo,rap
The Fray,pop
Rihanna,pop
The Pussycat Dolls,pop
The All-American Rejects,rock
Rascal Flatts,country
Justin Timberlake,pop
Beyonce,pop
Mary J. Blige,pop
Daniel Powter,rock
James Blunt,pop
Kelly Clarkson,pop
Natasha Bedingfield,pop
Fall Out Boy,rock
T.I.,rap
Yung Joc,rap
Nelly Furtado,rap
Gnarls Barkley,rap
Chamillionaire,rap
Fergie,pop
Cassie,pop
The Black Eyed Peas,NA
Red Hot Chili Peppers,rock
Shakira,pop
Nelly,rap
Panic! At The Disco,rock
Mariah Carey,pop
Dem Franchize Boyz,rap
Eminem,rap
T-Pain,rap
Christina Aguilera,pop
Carrie Underwood,country
Snow Patrol,rock
Ludacris,rap
Jamie Foxx,rap
Hinder,rock
KT Tunstall,rock
Cascada,rap
D4L,rap
Kenny Chesney,country
Keyshia Cole,pop
Kanye West,rap
E-40,rap
Juelz Santana,rap
Nick Lachey,pop
Busta Rhymes,rap
Lil Jon,rap
Akon,pop
Bon Jovi,rock
Ciara,pop
Fort Minor,rock
Three 6 Mafia,rap
Bubba Sparxxx,rap
Tim McGraw,country
Jibbs,rap
Dierks Bentley,country
Ray J,pop
Josh Turner,country
Keith Urban,country
Lil Wayne,rap
Brad Paisley,country
Ashlee Simpson,pop
Cherish,pop
JoJo,pop
Danity Kane,pop
Field Mob,rap
Timbaland,pop
Daddy Yankee,rap
Evanescence,rock
Weezer,rock
Madonna,pop
Blue October,rock
Toby Keith,country
Lifehouse,rock
Wyclef Jean,rap
Bow Wow,rap
Young Dro,rap
John Mayer,pop
Paul Wall,rap
Kelis,pop
Chingy,rap
Gwen Stefani,pop
Krayzie Bone,rap
George Strait,country
Slim Thug,rap
Trace Adkins,country
Gorillaz,rap
Taylor Hicks,pop
Snoop Dogg,rap
Little Big Town,country
P!nk,pop
Goo Goo Dolls,rock
Faith Hill,country
Teddy Geiger,pop
The Wreckers,country
Daughtry,rock
Avril Lavigne,pop
Maroon 5,pop
Plain White T's,pop
Mims,rap
Unk,pop
Shop Boyz,rap
Sean Kingston,pop
Soulja Boy Tell'em,rap
Lloyd,pop
Jim Jones,rap
Linkin Park,rock
JAY-Z,rap
My Chemical Romance,rock
Gym Class Heroes,pop
Diddy,rap
Huey,rock
Taylor Swift,pop
Omarion,pop
Robin Thicke,pop
Hurricane Chris,rap
The Red Jumpsuit Apparatus,rock
Fabolous,rap
50 Cent,rap
Amy Winehouse,pop
Rodney Atkins,country
Sugarland,country
Musiq Soulchild,pop
Colbie Caillat,pop
J. Holiday,pop
Fat Joe,rap
Alicia Keys,pop
Plies,rap
Boys Like Girls,rock
Hellogoodbye,rock
Pretty Ricky,rap
Baby Boy Da Prince,rap
Bone Thugs-N-Harmony,rap
Three Days Grace,rock
Paula DeAnda,pop
Jonas Brothers,pop
Finger Eleven,rock
Rich Boy,rap
Fantasia,pop
Hannah Montana,pop
Keri Hilson,pop
Big & Rich,country
Jason Aldean,country
DJ Khaled,rap
Augustana,rock
Britney Spears,pop
Eve,rap
Patrick Stump,rock
Kilo,pop
Leona Lewis,pop
Flo Rida,pop
Jordin Sparks,pop
Katy Perry,pop
Sara Bareilles,pop
Coldplay,pop
Miley Cyrus,pop
Usher,pop
OneRepublic,pop
The-Dream,pop
Jesse McCartney,pop
Jason Mraz,pop
Metro Station,rock
David Cook,pop
Yung Berg,rap
M.I.A.,pop
Paramore,rock
Buckcherry,rock
3 Doors Down,rock
Kardinal Offishall,rap
Alan Jackson,country
Secondhand Serenade,rock
Static Major,country
Trey Songz,pop
Colby O'Donis,rap
David Archuleta,pop
Montgomery Gentry,country
Estelle,pop
Webbie,rap
Rick Ross,rap
Baby Bash,rap
Kid Rock,rock
Gavin DeGraw,pop
Jazmine Sullivan,pop
Gavin Rossdale,rock
Lupe Fiasco,rap
Kevin Rudolf,pop
David Banner,rap
Saving Abel,rock
Yael Naim,pop
Pitbull,pop
Jennifer Hudson,pop
The Game,rap
Mario,pop
James Otto,country
Duffy,NA
matchbox twenty,rock
Blake Shelton,country
Lady Gaga,pop
Drake,rap
Kings Of Leon,rock
Kid Cudi,rap
Shinedown,rock
Zac Brown Band,country
3OH!3,pop
Jeremih,rap
Jay Sean,pop
Jason Derulo,pop
Lady A,country
Green Day,rock
Darius Rucker,country
Billy Currington,country
Owl City,pop
Justin Bieber,pop
Cobra Starship,pop
Young Money,rap
The Veronicas,pop
Asher Roth,rap
Maxwell,pop
Rob Thomas,pop
Iyaz,pop
Demi Lovato,pop
New Boyz,rap
Kristinia DeBarge,pop
Sammie,pop
The Ting Tings,pop
Pleasure P,pop
Theory Of A Deadman,rock
LMFAO,pop
Dorrough,rap
Kellie Pickler,country
David Guetta,pop
Ke$ha,country
Taio Cruz,pop
B.o.B,rap
Train,pop
Bruno Mars,pop
Mike Posner,pop
Nicki Minaj,pop
Glee Cast,pop
The Script,pop
Adam Lambert,pop
Enrique Iglesias,pop
Travie McCoy,pop
Michael Buble,country
La Roux,pop
Selena Gomez,pop
Miranda Lambert,country
Kris Allen,rock
will.i.am,pop
Far*East Movement,pop
Orianthi,pop
Neon Trees,rock
Shontelle,pop
Luke Bryan,country
Easton Corbin,country
Gucci Mane,rap
Monica,pop
The Band Perry,country
Reba McEntire,country
Uncle Kracker,country
Cali Swag District,rap
Jerrod Niemann,country
Jaron And The Long Road To Love,country
CeeLo Green,rap
Chris Young,country
Adele,pop
Wiz Khalifa,rap
Foster The People,rock
Jennifer Lopez,pop
Hot Chelle Rae,pop
Christina Perri,pop
Bad Meets Evil,rap
Dev,country
Dr. Dre,rap
Diddy - Dirty Money,pop
Waka Flocka Flame,rap
Miguel,pop
Big Sean,rap
Eli Young Band,country
Thompson Square,country
Kelly Rowland,pop
Jake Owen,country
Tinie Tempah,pop
Eric Church,country
Afrojack,pop
Skylar Grey,pop
Alexandra Stan,pop
Mumford & Sons,rock
Sara Evans,country
Edward Maya,rap
Vika Jigulina,pop
Jessie J,pop
Selena Gomez & The Scene,pop
WILLOW,pop
fun.,rock
Carly Rae Jepsen,pop
One Direction,pop
Gotye,pop
The Wanted,pop
Ellie Goulding,pop
Calvin Harris,pop
Tyga,rap
Alex Clare,rock
2 Chainz,rap
Kimbra,pop
J. Cole,rap
Sia,pop
Hunter Hayes,country
Janelle Monae,pop
PSY,rock
Lee Brice,country
Phillip Phillips,rock
Karmin,pop
Cher Lloyd,pop
The Lumineers,country
Imagine Dragons,rock
Kip Moore,country
Kirko Bangz,rap
Ca$h Out,rap
Of Monsters And Men,rock
Future,rap
Love And Theft,country
Gloriana,country
Dustin Lynch,country
Wale,rap
Outasight,pop
Frank Ocean,pop
Brantley Gilbert,country
Macklemore & Ryan Lewis,pop
Baauer,pop
Florida Georgia Line,country
Lorde,pop
Avicii,pop
Kendrick Lamar,rap
Anna Kendrick,country
Daft Punk,rap
AWOLNATION,rock
Capital Cities,pop
Pharrell Williams,pop
Zedd,pop
Ed Sheeran,pop
Ariana Grande,pop
Swedish House Mafia,pop
Icona Pop,pop
A$AP Rocky,rap
Lana Del Rey,pop
Randy Houser,country
Sage The Gemini,rap
Ylvis,country
Mikky Ekko,rock
Juicy J,rap
Emeli Sande,pop
Thomas Rhett,country
Cedric Gervais,pop
Passenger,pop
Trinidad James,rap
Iggy Azalea,pop
John Legend,pop
Sam Smith,pop
Meghan Trainor,pop
MAGIC!,rap
Charli XCX,pop
Bastille,rock
Nico & Vinz,pop
Idina Menzel,country
Tove Lo,pop
American Authors,pop
5 Seconds Of Summer,pop
YG,rap
Kid Ink,rap
DJ Snake,pop
Aloe Blacc,pop
Disclosure,pop
ScHoolboy Q,rap
MKTO,pop
A Great Big World,rock
Bobby Shmurda,rap
Clean Bandit,pop
Echosmith,pop
Cole Swindell,country
Young Thug,rap
Becky G,pop
Rixton,pop
Martin Garrix,pop
Rae Sremmurd,rap
Frankie Ballard,country
The Neighbourhood,rock
Ty Dolla $ign,rap
Sam Hunt,country
Joe Nichols,country
John Newman,pop
Rich Homie Quan,rap
KONGOS,rock
Tinashe,pop
Rita Ora,pop
Vance Joy,pop
The Weeknd,pop
Fetty Wap,rap
Mark Ronson,pop
WALK THE MOON,rock
Silento,rap
OMI,pop
Nick Jonas,pop
Hozier,pop
Rachel Platten,pop
Charlie Puth,pop
Andy Grammer,pop
Fifth Harmony,pop
Shawn Mendes,pop
T-Wayne,rap
X Ambassadors,rock
R. City,rap
Meek Mill,rap
Major Lazer,pop
Brett Eldredge,country
O.T. Genasis,rap
Skrillex,pop
M0,rap
George Ezra,country
DeJ Loaf,rap
Jidenna,rap
Ella Henderson,pop
Alessia Cara,pop
Mr. Probz,pop
Chris Janson,country
Remy Boyz,NA
Paul McCartney,rock
James Newton Howard,rock
I LOVE MAKONNEN,rap
twenty one pilots,rock
The Chainsmokers,pop
Desiigner,rap
Lukas Graham,pop
Bryson Tiller,rap
DNCE,pop
Daya,pop
Zayn,pop
Kevin Gates,rap
Tory Lanez,rap
G-Eazy,rap
Bebe Rexha,pop
James Bay,pop
Kent Jones,rap
Kiiara,pop
Travis Scott,rap
Halsey,pop
Post Malone,rap
gnash,pop
Prince,rap
Lil Uzi Vert,rap
Ruth B,pop
Kelsea Ballerini,pop
Zara Larsson,pop
Lil Yachty,rap
Yo Gotti,rap
Flume,pop
Old Dominion,country
MNEK,pop
Maren Morris,country
Jon Pardi,country
Kyla,rap
Dan + Shay,pop
LOCASH,country
Disturbed,rock
MadeinTYO,rap
Rozes,pop
Troye Sivan,pop
Migos,rap
Khalid,pop
James Arthur,pop
Niall Horan,pop
Luis Fonsi,pop
Kodak Black,rap
21 Savage,rap
Cardi B,rap
Childish Gambino,rap
Julia Michaels,pop
Quavo,rap
French Montana,rap
XXXTENTACION,rap
Camila Cabello,pop
Brett Young,country
KYLE,rap
Luke Combs,country
Portugal. The Man,rock
Logic,rap
SZA,rap
Liam Payne,pop
Amine,rap
Ayo & Teo,rap
Zay Hilfigerrr & Zayion McCall,NA
Kesha,pop
Kygo,pop
Playboi Carti,rap
Machine Gun Kelly,rap
A Boogie Wit da Hoodie,rap
Jon Bellion,rap
Harry Styles,pop
Hailee Steinfeld,pop
Swae Lee,rap
Marian Hill,pop
Dua Lipa,pop
blackbear,pop
Maluma,pop
Kane Brown,country
Juice WRLD,rap
6ix9ine,pop
Ella Mai,pop
Bazzi,pop
Marshmello,pop
Lil Pump,rap
NF,rap
Lil Baby,rap
J Balvin,pop
YoungBoy Never Broke Again,rap
Rich The Kid,rap
Bad Bunny,rap
Lauv,pop
BlocBoy JB,rap
Offset,rap
Normani,pop
Grey,pop
Famous Dex,rap
Metro Boomin,rap
Russell Dickerson,country
Anne-Marie,pop
Lil Dicky,rap
The Carters,pop
Lil Skies,rap
Chris Stapleton,country
MAX,pop
Ozuna,pop
lovelytheband,rock
A$AP Ferg,rap
Queen Naija,pop
Billie Eilish,pop
Lil Nas X,rap
DaBaby,rap
Lizzo,rap
Ava Max,pop
Lil Tecca,rap
Billy Ray Cyrus,country
Lewis Capaldi,pop
YNW Melly,rap
Gunna,rap
Blueface,rap
City Girls,rap
Sheck Wes,rap
Morgan Wallen,country
Bradley Cooper,country
Dean Lewis,pop
Lauren Daigle,rock
Blanco Brown,pop
Calboy,rap
Megan Thee Stallion,rap
Mustard,rap
NLE Choppa,rap
SHAED,pop
Flipp Dinero,rap
Polo G,rap
benny blanco,pop
Summer Walker,pop
Pinkfong,rap
Saweetie,rap
YK Osiris,rap
"Tyler, The Creator",rap
Lil Tjay,rap
Anuel AA,rap
Chase Rice,country
Scotty McCreery,country
