Year,Pop,Rap,Rock,Country
2005,0.3469387755102041,0.3469387755102041,0.16326530612244897,0.14285714285714285
2006,0.3469387755102041,0.3469387755102041,0.16326530612244897,0.14285714285714285
2007,0.3958333333333333,0.2916666666666667,0.1875,0.125
2008,0.5,0.20408163265306123,0.15306122448979592,0.14285714285714285
2009,0.5050505050505051,0.20202020202020202,0.10101010101010101,0.1919191919191919
2010,0.5154639175257731,0.16494845360824742,0.07216494845360824,0.24742268041237114
2011,0.5050505050505051,0.20202020202020202,0.030303030303030304,0.26262626262626265
2012,0.44,0.18,0.1,0.28
2013,0.4639175257731959,0.18556701030927836,0.09278350515463918,0.25773195876288657
2014,0.54,0.19,0.06,0.21
2015,0.5052631578947369,0.24210526315789474,0.06315789473684211,0.18947368421052632
2016,0.5154639175257731,0.26804123711340205,0.030927835051546393,0.18556701030927836
2017,0.47959183673469385,0.3469387755102041,0.030612244897959183,0.14285714285714285
2018,0.39,0.41,0.05,0.15
2019,0.35,0.45,0.04,0.16
